iter	Passed	Remaining
833	123087	172086
834	123451	172240
835	123930	172554
836	124233	172621
837	124486	172617
838	124739	172612
839	125007	172628
840	125223	172573
841	125439	172516
842	125671	172482
843	125897	172437
844	126144	172423
845	126386	172399
846	126617	172361
847	127015	172549
848	127437	172768
849	127696	172765
850	127937	172738
851	128266	172828
852	128485	172770
853	128811	172855
854	129132	172931
855	129386	172918
856	129619	172876
857	129899	172896
858	130118	172834
859	130362	172805
860	130628	172805
861	130846	172741
862	131202	172858
863	131738	173211
864	131981	173178
865	132176	173081
866	132390	173008
867	132616	172951
868	132828	172875
869	133053	172816
870	133297	172781
871	133544	172749
872	133776	172699
873	133983	172614
874	134213	172559
875	134486	172560
876	134767	172569
877	135038	172565
878	135286	172532
879	135532	172496
880	135808	172497
881	136050	172453
882	136280	172395
883	136519	172348
884	136756	172297
885	136966	172212
886	137378	172381
887	137783	172539
888	138125	172618
889	138382	172589
890	138615	172530
891	138846	172468
892	139052	172374
893	139299	172332
894	139511	172246
895	139754	172197
896	139951	172092
897	140156	171995
898	140360	171899
899	140574	171813
900	140778	171715
901	140998	171636
902	141248	171593
903	141454	171498
904	141689	171436
905	141897	171341
906	142105	171247
907	142318	171158
908	142524	171060
909	142754	170991
910	143015	170958
911	143212	170849
912	143428	170763
913	143636	170666
914	143846	170571
915	144043	170462
916	144245	170358
917	144476	170287
918	144706	170215
919	144933	170139
920	145171	170076
921	145381	169979
922	145611	169906
923	145974	169988
924	146405	170146
925	146706	170154
926	146937	170079
927	147177	170015
928	147423	169957
929	147670	169900
930	147911	169836
931	148123	169738
932	148333	169637
933	148533	169525
934	148740	169421
935	148956	169326
936	149192	169254
937	149438	169193
938	149662	169107
939	149936	169077
940	150200	169035
941	150444	168970
942	150704	168923
943	150924	168831
944	151168	168764
945	151365	168646
946	151571	168537
947	151774	168425
948	151985	168320
949	152235	168260
950	152475	168188
951	152733	168135
952	152992	168082
953	153257	168036
954	153474	167938
955	153728	167879
956	153959	167794
957	154150	167666
958	154360	167559
959	154595	167478
960	154824	167390
961	155046	167295
962	155304	167238
963	155519	167134
964	155757	167056
965	156187	167181
966	156625	167315
967	157054	167438
968	157365	167434
969	157698	167453
970	157966	167401
971	158229	167345
972	158531	167329
973	158781	167258
974	158988	167141
975	159219	167049
976	159420	166926
977	159649	166832
978	159850	166708
979	160070	166603
980	160276	166485
981	160472	166355
982	160666	166223
983	160861	166093
984	161056	165962
985	161294	165874
986	161540	165795
987	161762	165692
988	162013	165617
989	162250	165527
990	162488	165439
991	162713	165338
992	162924	165221
993	163167	165137
994	163414	165056
995	163663	164978
996	163885	164871
997	164104	164762
998	164299	164628
999	164530	164530
1000	164782	164453
1001	165027	164368
1002	165431	164441
1003	165826	164505
1004	166134	164481
1005	166390	164405
1006	166683	164365
1007	166962	164312
1008	167212	164229
1009	167453	164137
1010	167692	164043
1011	167936	163953
1012	168178	163862
1013	168426	163775
1014	168665	163679
1015	168900	163580
1016	169179	163523
1017	169455	163462
1018	169710	163381
1019	169957	163292
1020	170162	163162
1021	170367	163032
1022	170613	162941
1023	170886	162876
1024	171166	162817
1025	171432	162744
1026	171698	162670
1027	171942	162576
1028	172383	162666
1029	172839	162771
1030	173177	162763
1031	173451	162695
1032	173733	162633
1033	174034	162589
1034	174276	162489
1035	174520	162391
1036	174759	162288
1037	175038	162222
1038	175321	162159
1039	175595	162087
1040	175884	162029
1041	176192	161988
1042	176449	161900
1043	176696	161802
1044	176932	161694
1045	177166	161584
1046	177380	161455
1047	177620	161349
1048	177834	161220
1049	178065	161106
1050	178281	160979
1051	178488	160843
1052	178726	160735
1053	178990	160650
1054	179285	160592
1055	179563	160518
1056	179795	160404
1057	180020	160282
1058	180471	160361
1059	180893	160415
1060	181238	160398
1061	181474	160285
1062	181690	160154
1063	181914	160029
1064	182168	159931
1065	182413	159826
1066	182656	159717
1067	182914	159622
1068	183113	159474
1069	183330	159343
1070	183584	159243
1071	183811	159120
1072	184060	159015
1073	184329	158928
1074	184572	158817
1075	184812	158704
1076	185040	158581
1077	185318	158500
1078	185580	158405
1079	185864	158328
1080	186102	158212
1081	186337	158093
1082	186546	157953
1083	186727	157788
1084	186960	157667
1085	187207	157557
1086	187435	157431
1087	187674	157315
1088	187911	157196
1089	188143	157074
1090	188369	156946
1091	188679	156887
1092	189104	156923
1093	189396	156849
1094	189666	156756
1095	189866	156605
1096	190095	156478
1097	190310	156339
1098	190544	156215
1099	190745	156064
1100	190936	155905
1101	191135	155752
1102	191342	155607
1103	191598	155500
1104	191830	155373
1105	192049	155237
1106	192259	155093
1107	192510	154981
1108	192740	154852
1109	192949	154707
1110	193200	154595
1111	193510	154529
1112	193783	154434
1113	194023	154313
1114	194274	154199
1115	194471	154044
1116	194748	153950
1117	195026	153857
1118	195283	153748
1119	195561	153655
1120	195798	153529
1121	196017	153390
1122	196246	153257
1123	196500	153144
1124	196781	153052
1125	197013	152921
1126	197236	152784
1127	197484	152665
1128	197706	152526
1129	197952	152406
1130	198192	152280
1131	198444	152164
1132	198690	152043
1133	198949	151931
1134	199294	151885
1135	199649	151846
1136	199964	151775
1137	200245	151679
1138	200542	151595
1139	200833	151506
1140	201085	151386
1141	201345	151273
1142	201567	151131
1143	201813	151007
1144	202071	150891
1145	202327	150774
1146	202641	150700
1147	202839	150539
1148	203035	150377
1149	203318	150279
1150	203688	150244
1151	204005	150170
1152	204255	150047
1153	204469	149897
1154	204662	149731
1155	204871	149577
1156	205146	149471
1157	205417	149362
1158	205709	149267
1159	205937	149127
1160	206154	148977
1161	206345	148810
1162	206563	148661
1163	206776	148509
1164	206997	148363
1165	207199	148202
1166	207415	148052
1167	207646	147912
1168	207840	147746
1169	208056	147595
1170	208270	147443
1171	208518	147314
1172	208777	147194
1173	209028	147068
1174	209248	146919
1175	209454	146760
1176	209670	146609
1177	209920	146481
1178	210153	146341
1179	210406	146214
1180	210654	146085
1181	210954	145990
1182	211254	145895
1183	211531	145785
1184	211810	145675
1185	212329	145730
1186	212725	145699
1187	213026	145604
1188	213319	145502
1189	213614	145401
1190	213893	145289
1191	214156	145166
1192	214418	145042
1193	214661	144905
1194	214914	144774
1195	215177	144651
1196	215400	144499
1197	215630	144353
1198	215813	144175
1199	216012	144008
1200	216210	143840
1201	216460	143706
1202	216705	143569
1203	216982	143453
1204	217244	143327
1205	217530	143216
1206	217753	143064
1207	217983	142916
1208	218239	142785
1209	218496	142654
1210	218760	142528
1211	219088	142443
1212	219414	142356
1213	219840	142335
1214	220097	142203
1215	220315	142045
1216	220538	141891
1217	220752	141730
1218	220951	141561
1219	221153	141392
1220	221379	141240
1221	221601	141085
1222	221841	140940
1223	222096	140806
1224	222339	140664
1225	222581	140520
1226	222902	140426
1227	223215	140327
1228	223559	140247
1229	223972	140210
1230	224246	140085
1231	224565	139988
1232	224846	139868
1233	225159	139766
1234	225456	139655
1235	225821	139585
1236	226088	139454
1237	226401	139351
1238	226714	139249
1239	227128	139207
1240	227389	139071
1241	228141	139236
1242	228559	139195
1243	228956	139140
1244	229210	138999
1245	229579	138926
1246	229858	138799
1247	230137	138672
1248	230402	138536
1249	230649	138389
1250	230915	138253
1251	231198	138128
1252	231496	138010
1253	231759	137872
1254	231965	137700
1255	232201	137546
1256	232400	137369
1257	232703	137254
1258	233123	137207
1259	233447	137103
1260	233717	136968
1261	233958	136815
1262	234156	136637
1263	234369	136468
1264	234844	136451
1265	235337	136443
1266	235565	136282
1267	235861	136159
1268	236077	135990
1269	236321	135838
1270	236551	135677
1271	236835	135547
1272	237042	135373
1273	237281	135216
1274	237480	135037
1275	237682	134860
1276	237891	134687
1277	238110	134519
1278	238368	134373
1279	238637	134233
1280	238840	134056
1281	239030	133871
1282	239218	133686
1283	239431	133514
1284	239624	133331
1285	239829	133155
1286	240087	133008
1287	240324	132849
1288	240608	132717
1289	240847	132559
1290	241068	132391
1291	241296	132227
1292	241540	132071
1293	241759	131902
1294	242138	131820
1295	242715	131845
1296	242987	131703
1297	243240	131552
1298	243520	131414
1299	243814	131284
1300	244114	131157
1301	244350	130995
1302	244558	130819
1303	244899	130713
1304	245130	130548
1305	245395	130401
1306	245604	130224
1307	245798	130040
1308	246006	129862
1309	246213	129684
1310	246430	129512
1311	246642	129336
1312	246844	129156
1313	247042	128973
1314	247239	128790
1315	247446	128612
1316	247681	128448
1317	247912	128282
1318	248132	128110
1319	248338	127931
1320	248597	127780
1321	248797	127597
1322	249163	127501
1323	249591	127435
1324	249845	127279
1325	250069	127109
1326	250270	126927
1327	250464	126741
1328	250658	126554
1329	250859	126372
1330	251082	126201
1331	251300	126027
1332	251535	125861
1333	251750	125686
1334	251946	125501
1335	252124	125307
1336	252318	125121
1337	252545	124951
1338	252774	124782
1339	252983	124604
1340	253182	124420
1341	253370	124230
1342	253578	124051
1343	253786	123872
1344	254025	123707
1345	254300	123560
1346	254530	123391
1347	254757	123221
1348	254980	123048
1349	255180	122864
1350	255384	122682
1351	255616	122514
1352	255875	122358
1353	256180	122225
1354	256553	122123
1355	256874	121996
1356	257131	121838
1357	257374	121674
1358	257609	121506
1359	257838	121335
1360	258041	121152
1361	258244	120969
1362	258457	120790
1363	258666	120609
1364	258881	120432
1365	259100	120255
1366	259288	120065
